AccountID  |AccountNumber      |PlanID     |TranID               |OutstdPrincipal      |FeeBillPaid          |FeeBilledNotPaid     |FeesCTDSystem        |Flag|OriginalPurchaseAmount|PlanSegCreateDate      |BillingTableName                                                                                    |CurrentBalance       |FeesChargedOnOtherPlan|ReportDate             |SystemDate             |UnpaidFeesCtd        |NSFFeesBNP           |LateFeesBNP          |ExcludeFlag|InterestCTD          |InterestBNP          |InterestBillPaid     |CollateralIdentifier|multiplesales
       6719|2000000700000012   |       1461|                    0|             18418.20|                  .00|                  .00|                  .00|EP  |                   .00|2013-09-11 00:00:00.000|DEMO BT                                                                                         |             20037.08|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|              1618.88|                  .00|                    |0
       6721|2000000700000013   |       1462|                    0|             10675.94|                  .00|                  .00|                  .00|EP  |                   .00|2013-10-10 00:00:00.000|DEMO BT                                                                                         |             11449.85|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|               773.91|                  .00|                    |0
       6723|2000000700000014   |       1463|                    0|             16693.62|                  .00|                  .00|                  .00|EP  |                   .00|2013-11-15 00:00:00.000|DEMO BT                                                                                         |             16693.62|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6725|2000000700000015   |       1464|                    0|              7111.44|                  .00|                  .00|                  .00|EP  |                   .00|2013-11-15 00:00:00.000|DEMO BT                                                                                         |              7111.44|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6729|2000000700000017   |       1466|                    0|              7908.58|                  .00|                  .00|                  .00|EP  |                   .00|2014-04-29 00:00:00.000|DEMO BT                                                                                         |              7908.58|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6731|2000000700000018   |       1467|                    0|              3820.09|                  .00|                  .00|                  .00|EP  |                   .00|2014-04-29 00:00:00.000|DEMO BT                                                                                         |              3820.09|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6733|2000000700000019   |       1468|                    0|               793.61|                  .00|                  .00|                  .00|EP  |                   .00|2014-04-29 00:00:00.000|DEMO BT                                                                                         |               793.61|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6735|2000000700000020   |       1469|                    0|              6000.10|                  .00|                  .00|                  .00|EP  |                   .00|2014-05-22 00:00:00.000|DEMO BT                                                                                         |              6000.10|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6737|2000000700000021   |       1470|                    0|               376.99|                  .00|                  .00|                  .00|EP  |                   .00|2014-07-17 00:00:00.000|DEMO BT                                                                                         |               376.99|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6739|2000000700000022   |       1471|                    0|             10452.16|                  .00|                  .00|                  .00|EP  |                   .00|2014-07-17 00:00:00.000|DEMO BT                                                                                         |             10452.16|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6741|2000000700000023   |       1472|                    0|              7267.20|                  .00|                  .00|                  .00|EP  |                   .00|2014-07-17 00:00:00.000|DEMO BT                                                                                         |              7267.20|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6743|2000000700000024   |       1473|                    0|              8488.15|                  .00|                  .00|                  .00|EP  |                   .00|2014-07-17 00:00:00.000|DEMO BT                                                                                         |              8488.15|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6745|2000000700000025   |       1474|                    0|             10336.94|                  .00|                  .00|                  .00|EP  |                   .00|2014-07-17 00:00:00.000|DEMO BT                                                                                         |             10336.94|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6747|2000000700000026   |       1475|                    0|              1089.56|                  .00|                  .00|                  .00|EP  |                   .00|2014-07-17 00:00:00.000|DEMO BT                                                                                         |              1089.56|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6749|2000000700000027   |       1476|                    0|              9437.81|                  .00|                  .00|                  .00|EP  |                   .00|2014-07-17 00:00:00.000|DEMO BT                                                                                         |              9437.81|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6751|2000000700000028   |       1477|                    0|              1167.43|                  .00|                  .00|                  .00|EP  |                   .00|2014-08-15 00:00:00.000|DEMO BT                                                                                         |              1325.75|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|               158.32|                  .00|                    |0
       6753|2000000700000029   |       1478|                    0|              2168.63|                  .00|                  .00|                  .00|EP  |                   .00|2014-08-15 00:00:00.000|DEMO BT                                                                                         |              2462.71|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|               294.08|                  .00|                    |0
       6755|2000000700000030   |       1479|                    0|              3538.35|                  .00|                  .00|                  .00|EP  |                   .00|2014-08-15 00:00:00.000|DEMO BT                                                                                         |              4018.20|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|               479.85|                  .00|                    |0
       6757|2000000700000031   |       1480|                    0|              5661.63|                  .00|                  .00|                  .00|EP  |                   .00|2014-08-15 00:00:00.000|DEMO BT                                                                                         |              6429.46|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|               767.83|                  .00|                    |0
       6759|2000000700000032   |       1481|                    0|             11345.85|                  .00|                  .00|                  .00|EP  |                   .00|2014-10-02 00:00:00.000|DEMO BT                                                                                         |             11345.85|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6761|2000000700000033   |       1482|                    0|              5488.97|                  .00|                  .00|                  .00|EP  |                   .00|2014-10-01 00:00:00.000|DEMO BT                                                                                         |              5488.97|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6763|2000000700000034   |       1483|                    0|               407.87|                  .00|                  .00|                  .00|EP  |                   .00|2014-10-01 00:00:00.000|DEMO BT                                                                                         |               407.87|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6765|2000000700000035   |       1484|                    0|               963.86|                  .00|                  .00|                  .00|EP  |                   .00|2014-10-01 00:00:00.000|DEMO BT                                                                                         |               963.86|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6767|2000000700000036   |       1485|                    0|              2090.70|                  .00|                  .00|                  .00|EP  |                   .00|2014-10-01 00:00:00.000|DEMO BT                                                                                         |              2090.70|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6769|2000000700000037   |       1486|                    0|             12452.28|                  .00|                  .00|                  .00|EP  |                   .00|2014-10-01 00:00:00.000|DEMO BT                                                                                         |             12452.28|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
